name,extract_vol,mg_gluta_vol,k_gluta_vol,aa_vol,peg_vol,hepes_vol,trna_vol,coa_vol,nad_vol,camp_vol,folinic_acid_vol,spermidine_vol,pga_vol,nucleo_mix_vol,dna_high_high_vol,dna_high_low_vol,dna_low_high_vol,dna_low_low_vol,water_vol
G9,3.52,0.025,0.075,0.7875,0.525,0.25,0.0625,0.0375,0.0625,0.0375,0.0375,0.0375,0.0675,0.0375,1.75,0.0,0.0,0.0,3.1875
G10,3.52,0.25,0.25,0.2625,0.525,0.25,0.0125,0.0125,0.0625,0.0375,0.125,0.0625,0.0675,0.125,1.75,0.0,0.0,0.0,3.1875
G11,3.52,0.025,0.075,0.7875,0.525,0.25,0.0625,0.0375,0.0625,0.0375,0.0375,0.0375,0.0675,0.0375,1.75,0.0,0.0,0.0,3.1875
G12,3.52,0.075,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0625,0.0625,0.0675,0.0625,1.75,0.0,0.0,0.0,3.1625
G13,3.52,0.075,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0625,0.0625,0.0675,0.0625,1.75,0.0,0.0,0.0,3.1625
G14,3.52,0.075,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0125,0.0125,0.0625,0.0625,0.0675,0.0625,1.75,0.0,0.0,0.0,3.1625
G15,3.52,0.075,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0375,0.0125,0.0625,0.0125,0.1125,0.0625,1.75,0.0,0.0,0.0,3.1425
G16,3.52,0.075,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0375,0.0125,0.0625,0.0125,0.1125,0.0625,1.75,0.0,0.0,0.0,3.1425
G17,3.52,0.075,0.125,0.7875,0.525,0.25,0.0125,0.0125,0.0375,0.0125,0.0625,0.0125,0.1125,0.0625,1.75,0.0,0.0,0.0,3.1425
G18,3.52,0.25,0.25,0.2625,0.525,0.25,0.0625,0.0125,0.0625,0.0375,0.125,0.0625,0.0675,0.125,1.75,0.0,0.0,0.0,3.1375
G19,3.52,0.25,0.25,0.2625,0.525,0.25,0.0625,0.0125,0.0625,0.0375,0.125,0.0625,0.0675,0.125,1.75,0.0,0.0,0.0,3.1375
G20,3.52,0.25,0.25,0.2625,0.525,0.25,0.0625,0.0125,0.0625,0.0375,0.125,0.0625,0.0675,0.125,1.75,0.0,0.0,0.0,3.1375
G21,3.52,0.25,0.25,0.2625,0.525,0.25,0.0375,0.0125,0.0375,0.0375,0.125,0.125,0.0675,0.125,1.75,0.0,0.0,0.0,3.125
